Transcript,sequence.length,best.hit.to.nr,hit.length,E.value,Bit.score,GO.Biological.Process,GO.Cellular.Component,GO.Molecular.Function,Enzyme,Domain,annotation.type,pval,adj.r.squared,padj,Apicea.type,Acarolinensis.type
6265|*|comp93082_c0_seq2,1845,gi|307210655|gb|EFN87080.1| Dual oxidase 2 ,475,2.47999999999e-314,1067.040229,GO:0055085 transmembrane transport | GO:0006979 response to oxidative stress | GO:0055114 oxidation-reduction process | GO:0009617 response to bacterium | GO:0002523 leukocyte migration involved in inflammatory response | GO:0050665 hydrogen peroxide biosynthetic process | GO:0006804 peroxidase reaction,GO:0016021 integral to membrane,"GO:0016174 NAD(P)H oxidase activity | GO:0005509 calcium ion binding | GO:0042626 ATPase activity, coupled to transmembrane movement of substances | GO:0004601 peroxidase activity | GO:0008484 sulfuric ester hydrolase activity | GO:0005524 ATP binding | GO:0020037 heme binding",-,pfam08030 NAD_binding_6 | pfam08022 FAD_binding_8 | pfam01794 Ferric_reduct | pfam00175 NAD_binding_1 | pfam07695 7TMR-DISM_7TM,GO & Domain,4.35E-06,0.803230399,0.0002083,Low,Low
6271|*|comp145868_c0_seq1,1843,gi|322801379|gb|EFZ22040.1| hypothetical protein SINV_01517 ,110,1.09E-32,148.147362,-,-,-,-,-,,3.15E-07,0.859424511,2.57051E-05,Bimodal,Intermediate
6275|*|comp147659_c0_seq2,1843,gi|322782216|gb|EFZ10367.1| hypothetical protein SINV_06068 ,78,7.03E-09,71.423397,-,-,-,-,-,,5.65E-06,0.796499585,0.000258852,Low,Low
627|*|comp150084_c0_seq1,4877,gi|332022970|gb|EGI63236.1| Wee1-like protein kinase ,565,0,1204.335746,GO:0006468 protein phosphorylation | GO:0007126 meiosis | GO:0007067 mitosis | GO:0009069 serine family amino acid metabolic process,GO:0005634 nucleus,GO:0004674 protein serine/threonine kinase activity | GO:0005524 ATP binding | GO:0000287 magnesium ion binding | GO:0004715 non-membrane spanning protein tyrosine kinase activity,2.7.10.2 ,pfam00069 Pkinase | pfam07714 Pkinase_Tyr,GO & Enzyme & Domain,5.54E-06,0.797043918,0.000254955,Bimodal,High
62974|*|comp2658520_c0_seq1,282,-,-,-,-,-,-,-,-,-,,5.21E-07,0.850114263,3.81502E-05,Intermediate,Low
62976|*|comp150835_c0_seq22,282,-,-,-,-,-,-,-,-,-,,4.58E-09,0.917820825,8.83E-07,Bimodal,Intermediate
629|*|comp149236_c4_seq1,4874,gi|307166564|gb|EFN60627.1| Phosphatidylinositol 3-kinase catalytic subunit type 3 ,910,0,2070.28459,GO:0050708 regulation of protein secretion | GO:0007032 endosome organization | GO:0016485 protein processing | GO:0006468 protein phosphorylation | GO:0048015 phosphatidylinositol-mediated signaling | GO:0000045 autophagic vacuole assembly | GO:0045022 early endosome to late endosome transport | GO:0046854 phosphatidylinositol phosphorylation | GO:0000910 cytokinesis,GO:0005942 phosphatidylinositol 3-kinase complex | GO:0005770 late endosome | GO:0030496 midbody,GO:0016303 1-phosphatidylinositol-3-kinase activity | GO:0004672 protein kinase activity | GO:0005524 ATP binding,2.7.1.137 ,pfam00454 PI3_PI4_kinase | pfam00613 PI3Ka | pfam00792 PI3K_C2 | pfam10325 7TM_GPCR_Srz,GO & Enzyme & Domain,3.01E-06,0.81232158,0.000155006,Low,Low
63031|*|comp90426_c0_seq1,282,-,-,-,-,-,-,-,-,-,,6.17E-07,0.846831382,4.36694E-05,Low,High
6319|*|Contig5078,1834,gi|332025263|gb|EGI65437.1| Cytochrome P450 6k1 ,512,0,1076.911149,GO:0055114 oxidation-reduction process | GO:0006118 electron transport,-,"GO:0020037 heme binding | GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen | GO:0004497 monooxygenase activity | GO:0005506 iron ion binding | GO:0009055 electron carrier activity",-,pfam00067 p450,GO & Domain,8.58E-07,0.840250878,5.65253E-05,Low,Low
6320|*|comp150517_c3_seq1,1834,gi|307176330|gb|EFN65948.1| BTB/POZ domain-containing protein KCTD5 ,225,3.38E-151,525.485693,GO:0051260 protein homooligomerization | GO:0006144 purine base metabolic process,-,"GO:0004114 3',5'-cyclic-nucleotide phosphodiesterase activity",-,pfam02214 K_tetra,GO & Domain,3.45E-06,0.809040498,0.000172497,Low,Low
63287|*|comp149276_c1_seq1,281,-,-,-,-,-,-,-,-,-,,5.13E-09,0.916649333,9.69E-07,Low,Low
63306|*|comp148938_c6_seq1,281,-,-,-,-,-,-,-,-,-,,1.92E-06,0.822851084,0.000107295,Low,High
63516|*|comp145252_c1_seq2,280,-,-,-,-,-,-,-,-,-,,4.40E-06,0.802955437,0.000209958,Low,NotResp
63528|*|comp2685842_c0_seq1,280,-,-,-,-,-,-,-,-,-,,8.12E-07,0.841360604,5.42192E-05,NotResp,Low
63536|*|comp147302_c1_seq4,280,-,-,-,-,-,-,-,-,-,,1.25E-08,0.90665816,1.97E-06,Low,Intermediate
6353|*|comp140375_c0_seq1,1829,-,-,-,-,-,-,-,-,-,,8.87E-12,0.962584004,4.91E-09,NotResp,Low
6354|*|comp150033_c0_seq9,1829,gi|193610737|ref|XP_001943491.1| PREDICTED: putative nuclease HARBI1-like ,340,2.21E-115,406.585981,-,GO:0005737 cytoplasm | GO:0005813 centrosome,-,-,pfam13359 DDE_4 | pfam04827 Plant_tran | pfam01609 DDE_Tnp_1,GO & Domain,5.85E-13,0.973403382,5.36E-10,Low,Low
6356|*|comp145911_c0_seq1,1829,gi|307210590|gb|EFN87058.1| Aminopeptidase N ,452,2.31E-173,599.068911,GO:0006508 proteolysis,-,GO:0008237 metallopeptidase activity | GO:0008270 zinc ion binding | GO:0004177 aminopeptidase activity,-,pfam11838 DUF3358,GO & Domain,1.47E-07,0.872394159,1.41849E-05,Low,High
6359|*|Contig5323,1829,gi|332020974|gb|EGI61367.1| hypothetical protein G5I_10364 ,254,3.87E-117,412.418797,GO:0006468 protein phosphorylation | GO:0048015 phosphatidylinositol-mediated signaling | GO:0046854 phosphatidylinositol phosphorylation | GO:0009069 serine family amino acid metabolic process | GO:0005975 carbohydrate metabolic process | GO:0006687 glycosphingolipid metabolic process,GO:0016021 integral to membrane,GO:0004674 protein serine/threonine kinase activity | GO:0035091 phosphatidylinositol binding | GO:0004713 protein tyrosine kinase activity | GO:0005524 ATP binding | GO:0004348 glucosylceramidase activity,-,-,GO only,1.29E-06,0.831638709,7.78187E-05,Low,Low
63613|*|comp2227427_c0_seq1,280,-,-,-,-,-,-,-,-,-,,7.71E-08,0.882495839,8.57E-06,NotResp,Low
6365|*|comp138814_c0_seq1,1828,gi|322798399|gb|EFZ20119.1| hypothetical protein SINV_04119 ,128,2.13E-72,269.290465,-,GO:0005856 cytoskeleton,GO:0005200 structural constituent of cytoskeleton,-,pfam07679 I-set | pfam00047 ig | pfam13895 Ig_2 | pfam13927 Ig_3,GO & Domain,8.32E-07,0.840859245,5.52725E-05,Bimodal,Bimodal
63837|*|comp2332649_c0_seq1,279,-,-,-,-,-,-,-,-,-,,2.55E-12,0.9680105,1.72E-09,High,Intermediate
6384|*|Contig1324,1824,gi|332018752|gb|EGI59317.1| Puff-specific protein Bx42 ,50,1.11E-18,103.279546,"GO:0000398 nuclear mRNA splicing, via spliceosome",GO:0005681 spliceosomal complex,-,-,-,GO only,8.31E-16,0.988304437,2.14E-12,Low,Low
6394|*|comp146629_c0_seq1,1821,gi|332028492|gb|EGI68532.1| hypothetical protein G5I_02787 ,279,5.91E-153,531.318509,GO:0006098 pentose-phosphate shunt | GO:0006749 glutathione metabolic process,-,GO:0050661 NADP binding | GO:0004345 glucose-6-phosphate dehydrogenase activity,-,pfam06747 CHCH,GO & Domain,1.44E-06,0.829348345,8.51147E-05,Low,High
63981|*|comp147172_c0_seq3,279,-,-,-,-,-,-,-,-,-,,1.28E-07,0.874605033,1.27394E-05,Low,Low
6410|*|comp143067_c0_seq1,1818,-,-,-,-,-,-,-,-,-,,6.23E-06,0.793925606,0.000279495,Low,Intermediate
6411|*|Contig135,1818,gi|332031479|gb|EGI70963.1| Carbonic anhydrase 9 ,274,9.18E-139,484.207302,GO:0006730 one-carbon metabolic process | GO:0006422 aspartyl-tRNA aminoacylation | GO:0006522 alanine metabolic process | GO:0006531 aspartate metabolic process,GO:0005737 cytoplasm,GO:0004089 carbonate dehydratase activity | GO:0008270 zinc ion binding | GO:0003676 nucleic acid binding | GO:0005524 ATP binding | GO:0004815 aspartate-tRNA ligase activity,4.2.1.1 ,pfam00194 Carb_anhydrase | pfam04420 CHD5,GO & Enzyme & Domain,5.24E-07,0.850017283,3.82868E-05,Low,Low
6417|*|comp148029_c5_seq1,1817,-,-,-,-,-,-,-,-,-,,3.68E-07,0.856604035,2.91002E-05,Low,Intermediate
644|*|comp150281_c0_seq1,4833,gi|332026736|gb|EGI66845.1| hypothetical protein G5I_04652 ,339,2.17E-175,605.799083,-,-,-,-,pfam07406 NICE-3 | pfam11510 FA_FANCE,Domain only,8.87E-06,0.784331155,0.000371215,Low,Intermediate
64654|*|comp149239_c5_seq1,277,-,-,-,-,-,-,-,-,-,,1.59E-07,0.871179034,1.50308E-05,Bimodal,Intermediate
64771|*|comp2696795_c0_seq1,277,-,-,-,-,-,-,-,-,-,,2.76E-07,0.861801155,2.30878E-05,NotResp,Low
64823|*|comp124145_c0_seq1,277,gi|332020805|gb|EGI61203.1| Putative glutamine-dependent NAD(+) synthetase ,53,3.26E-12,78.602248,GO:0009435 NAD biosynthetic process | GO:0046497 nicotinate nucleotide metabolic process,-,"GO:0016810 hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds | GO:0003952 NAD+ synthase (glutamine-hydrolyzing) activity | GO:0005524 ATP binding",-,-,GO only,3.40E-06,0.809405361,0.000170558,Low,Low
64859|*|comp102433_c0_seq1,276,-,-,-,-,-,-,-,-,-,,5.60E-06,0.796730968,0.000257056,Intermediate,Intermediate
6487|*|comp150598_c2_seq2,1804,gi|307177458|gb|EFN66585.1| Epididymal secretory protein E1 ,154,2.08E-56,221.281902,GO:0055114 oxidation-reduction process,-,GO:0016491 oxidoreductase activity,-,pfam02221 E1_DerP2_DerF2,GO & Domain,3.79E-08,0.892635661,4.83E-06,Intermediate,Intermediate
6489|*|comp124958_c0_seq1,1804,gi|332016634|gb|EGI57502.1| Uncharacterized RNA-binding protein C365.04c ,438,4.08E-145,505.295176,GO:0043631 RNA polyadenylation | GO:0005975 carbohydrate metabolic process | GO:0032851 positive regulation of Rab GTPase activity | GO:0006298 mismatch repair | GO:0071555 cell wall organization,GO:0005618 cell wall | GO:0005634 nucleus,"GO:0030246 carbohydrate binding | GO:0008026 ATP-dependent helicase activity | GO:0030983 mismatched DNA binding | GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds | GO:0016881 acid-amino acid ligase activity | GO:0003723 RNA binding | GO:0005097 Rab GTPase activator activity | GO:0004652 polynucleotide adenylyltransferase activity | GO:0005524 ATP binding",-,pfam00076 RRM_1 | pfam14259 RRM_6 | pfam07530 PRE_C2HC,GO & Domain,3.29E-06,0.810228812,0.000166529,Low,Low
6490|*|comp92917_c0_seq1,1803,gi|322785362|gb|EFZ12036.1| hypothetical protein SINV_13826 ,409,1.38E-219,752.516841,GO:0006446 regulation of translational initiation,GO:0005840 ribosome,GO:0003743 translation initiation factor activity,-,-,GO only,1.48E-06,0.828710568,8.70271E-05,High,High
6494|*|comp148502_c1_seq1,1802,gi|332030933|gb|EGI70559.1| Acyl-CoA Delta(11) desaturase ,376,1.75E-251,858.404886,GO:0006633 fatty acid biosynthetic process | GO:0055114 oxidation-reduction process,GO:0016021 integral to membrane,GO:0004768 stearoyl-CoA 9-desaturase activity,-,pfam00487 FA_desaturase,GO & Domain,7.75E-06,0.788036866,0.000332118,Bimodal,Intermediate
65005|*|comp1711748_c0_seq1,276,-,-,-,-,-,-,-,-,-,,1.11417E-05,0.777879748,0.000440925,Low,NotResp
6520|*|comp143293_c0_seq1,1798,gi|332016341|gb|EGI57254.1| Cytochrome P450 4V3 ,365,9.76E-142,494.078222,GO:0055114 oxidation-reduction process | GO:0006118 electron transport,-,"GO:0020037 heme binding | GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen | GO:0004497 monooxygenase activity | GO:0005506 iron ion binding | GO:0009055 electron carrier activity",-,pfam00067 p450,GO & Domain,4.45E-06,0.802705084,0.000211836,Low,Low
65241|*|comp149246_c0_seq5,275,-,-,-,-,-,-,-,-,-,,1.29E-06,0.831744729,7.74845E-05,Low,Low
6529|*|comp145375_c1_seq2,1798,gi|307169188|gb|EFN62004.1| Protein lin-10 ,132,1.11E-82,299.80058,-,-,GO:0001540 beta-amyloid binding,-,pfam00595 PDZ,GO & Domain,8.20E-07,0.841161177,5.46057E-05,High,High
6531|*|comp150336_c4_seq3,1798,gi|307180083|gb|EFN68151.1| Rho GTPase-activating protein 26 ,33,2.10E-10,76.358857,-,-,-,-,-,,2.71E-06,0.814835365,0.000142095,Low,Low
65332|*|comp4189631_c0_seq1,275,-,-,-,-,-,-,-,-,-,,4.54E-07,0.852726652,3.40519E-05,NotResp,Low
6536|*|Contig5869,1796,gi|307211564|gb|EFN87642.1| THAP domain-containing protein 4 ,273,2.57E-61,236.088281,-,-,GO:0003676 nucleic acid binding,-,pfam05485 THAP | pfam12017 Tnp_P_element,GO & Domain,4.31E-11,0.954362971,1.85E-08,Bimodal,Bimodal
6538|*|comp145987_c0_seq1,1796,-,-,-,-,-,-,-,-,-,,1.38E-07,0.873504472,1.34413E-05,Bimodal,Low
6543|*|Contig5207,1795,gi|307198058|gb|EFN79111.1| hypothetical protein EAI_11694 ,95,9.92E-41,173.273339,-,-,-,-,pfam13837 Myb_DNA-bind_4 | pfam12776 Myb_DNA-bind_3 | pfam13873 Myb_DNA-bind_5 | pfam10545 MADF_DNA_bdg,Domain only,7.50E-13,0.972559206,6.46E-10,Low,Intermediate
6547|*|comp146978_c0_seq1,1794,"gi|307205691|gb|EFN83953.1| Selenide, water dikinase ",410,6.99E-207,710.341094,GO:0016260 selenocysteine biosynthetic process | GO:0022008 neurogenesis | GO:0006541 glutamine metabolic process | GO:0007444 imaginal disc development | GO:0007005 mitochondrion organization | GO:0016310 phosphorylation | GO:2000378 negative regulation of reactive oxygen species metabolic process | GO:0008284 positive regulation of cell proliferation,-,"GO:0004756 selenide, water dikinase activity | GO:0005524 ATP binding",-,pfam02769 AIRS_C,GO & Domain,2.49E-08,0.898183428,3.40E-06,High,High
65502|*|comp138408_c0_seq1,275,-,-,-,-,-,-,-,-,-,,7.95E-06,0.787362831,0.000339323,Low,Low
65511|*|comp145972_c0_seq8,275,-,-,-,-,-,-,-,-,-,,1.11E-06,0.834801606,6.94072E-05,Bimodal,Intermediate
65529|*|comp138114_c0_seq1,275,-,-,-,-,-,-,-,-,-,,1.67E-10,0.945882818,5.77E-08,High,High
6559|*|comp150073_c0_seq5,1793,gi|328786816|ref|XP_393817.4| PREDICTED: dipeptidyl aminopeptidase-like protein 6-like ,137,2.54E-81,295.762476,GO:0006508 proteolysis,GO:0016020 membrane,GO:0004177 aminopeptidase activity | GO:0008236 serine-type peptidase activity,-,-,GO only,5.67E-06,0.796425131,0.000259466,Bimodal,Low
6563|*|comp144538_c0_seq1,1792,-,-,-,-,-,-,-,-,-,,9.09E-07,0.839050612,5.92153E-05,Low,High
6568|*|comp142079_c0_seq1,1791,-,-,-,-,-,-,-,-,-,,2.76E-06,0.814403543,0.000144104,Low,Low
6573|*|comp145369_c0_seq2,1791,gi|328696952|ref|XP_003240188.1| PREDICTED: putative nuclease HARBI1-like ,296,3.03E-100,356.334027,-,-,-,-,pfam13359 DDE_4 | pfam04827 Plant_tran,Domain only,7.48E-09,0.912571203,1.33E-06,Low,Low
6577|*|comp146330_c0_seq1,1790,gi|332023873|gb|EGI64097.1| Transcriptional regulator ATRX ,267,4.70E-91,325.823913,-,-,GO:0008270 zinc ion binding,-,-,GO only,3.27E-07,0.858743218,2.6528E-05,Low,Low
65807|*|comp150654_c0_seq16,274,-,-,-,-,-,-,-,-,-,,5.09E-07,0.850552621,3.7453E-05,Bimodal,Intermediate
65831|*|comp150461_c0_seq6,274,-,-,-,-,-,-,-,-,-,,2.69E-06,0.81507291,0.000140908,Low,Intermediate
6584|*|comp146510_c0_seq1,1789,gi|322800460|gb|EFZ21464.1| hypothetical protein SINV_11237 ,341,9.50E-222,759.695691,GO:0045787 positive regulation of cell cycle | GO:0051771 negative regulation of nitric-oxide synthase biosynthetic process | GO:0034097 response to cytokine stimulus | GO:0008284 positive regulation of cell proliferation | GO:0018344 protein geranylgeranylation,GO:0005953 CAAX-protein geranylgeranyltransferase complex | GO:0005968 Rab-protein geranylgeranyltransferase complex,GO:0004662 CAAX-protein geranylgeranyltransferase activity | GO:0008144 drug binding | GO:0042277 peptide binding | GO:0008270 zinc ion binding | GO:0004663 Rab geranylgeranyltransferase activity | GO:0005515 protein binding | GO:0019840 isoprenoid binding,-,pfam13249 Prenyltrans_2 | pfam00432 Prenyltrans,GO & Domain,4.88E-08,0.889128058,6.00E-06,Low,Intermediate
6585|*|comp140742_c0_seq1,1789,gi|332030418|gb|EGI70106.1| Piwi-like protein 2 ,293,2.60E-189,652.012933,-,-,GO:0003676 nucleic acid binding,-,pfam02171 Piwi,GO & Domain,2.10E-07,0.866539585,1.8708E-05,Intermediate,Intermediate
66041|*|comp128002_c0_seq1,273,-,-,-,-,-,-,-,-,-,,1.16E-06,0.83389099,7.17687E-05,Low,Low
66104|*|comp145734_c0_seq4,273,-,-,-,-,-,-,-,-,-,,5.42E-06,0.797613575,0.000250275,Bimodal,Intermediate
6610|*|comp137194_c0_seq1,1782,gi|322796189|gb|EFZ18765.1| hypothetical protein SINV_10075 ,351,8.20E-103,364.858912,GO:0006508 proteolysis,-,GO:0004190 aspartic-type endopeptidase activity,-,pfam00026 Asp | pfam07966 A1_Propeptide,GO & Domain,8.99E-10,0.933098715,2.37E-07,Low,Low
66119|*|comp148346_c1_seq2,273,-,-,-,-,-,-,-,-,-,,2.52E-09,0.92380457,5.38E-07,Low,Low
66172|*|comp149470_c1_seq1,273,-,-,-,-,-,-,-,-,-,,8.49E-08,0.881042207,9.21E-06,Low,Intermediate
66183|*|comp1549423_c0_seq1,273,-,-,-,-,-,-,-,-,-,,2.72E-06,0.814778556,0.000142359,Bimodal,Low
6625|*|comp143731_c0_seq1,1779,gi|332017830|gb|EGI58490.1| Coiled-coil domain-containing protein 132 ,187,1.43E-119,420.495004,GO:0042981 regulation of apoptotic process,GO:0005856 cytoskeleton,-,-,pfam10474 DUF2451,GO & Domain,3.74E-07,0.856319265,2.9414E-05,Low,Intermediate
6628|*|comp150839_c1_seq1,1779,gi|270016660|gb|EFA13106.1| hypothetical protein TcasGA2_TC016329 ,454,1.62E-120,423.635751,GO:0006278 RNA-dependent DNA replication | GO:0019048 virus-host interaction | GO:0006508 proteolysis | GO:0015074 DNA integration,GO:0019031 viral envelope,GO:0003964 RNA-directed DNA polymerase activity | GO:0003723 RNA binding | GO:0004190 aspartic-type endopeptidase activity | GO:0008270 zinc ion binding,-,pfam00665 rve,GO & Domain,3.39E-06,0.809496136,0.000170151,Bimodal,NotResp
66291|*|comp3590856_c0_seq1,272,-,-,-,-,-,-,-,-,-,,2.04E-07,0.867005702,1.82945E-05,Bimodal,NotResp
6630|*|comp150820_c2_seq9,1778,gi|322780738|gb|EFZ09995.1| hypothetical protein SINV_06964 ,338,1.77E-221,758.798335,GO:0006468 protein phosphorylation | GO:0055114 oxidation-reduction process | GO:0006118 electron transport,-,GO:0004501 ecdysone 20-monooxygenase activity | GO:0009055 electron carrier activity | GO:0005506 iron ion binding | GO:0004672 protein kinase activity | GO:0020037 heme binding | GO:0005524 ATP binding,-,pfam00067 p450,GO & Domain,8.61E-09,0.911005596,1.48E-06,Intermediate,Intermediate
66389|*|comp142233_c0_seq1,272,-,-,-,-,-,-,-,-,-,,2.67E-07,0.86237033,2.2506E-05,NotResp,Low
6639|*|comp149684_c3_seq1,1775,-,-,-,-,-,-,-,-,-,,1.49E-06,0.828488635,8.76728E-05,Low,Low
66447|*|comp142673_c0_seq1,272,gi|307184166|gb|EFN70690.1| Histone-lysine N-methyltransferase SETMAR ,56,4.98E-18,96.998052,GO:0032259 methylation,-,GO:0008168 methyltransferase activity,-,-,GO only,1.28E-09,0.930060323,3.17E-07,Low,Low
66523|*|comp2724423_c0_seq1,272,-,-,-,-,-,-,-,-,-,,4.26E-06,0.803807663,0.000204898,Low,NotResp
6667|*|Contig5670,1770,-,-,-,-,-,-,-,-,-,,9.32E-06,0.782953245,0.000386025,Bimodal,Low
66728|*|comp147483_c1_seq7,271,gi|332030718|gb|EGI70394.1| Chromosome-associated kinesin KIF4A ,58,2.37E-25,119.880638,GO:0007018 microtubule-based movement | GO:0019835 cytolysis,GO:0016021 integral to membrane | GO:0005871 kinesin complex | GO:0005874 microtubule | GO:0045298 tubulin complex,GO:0008017 microtubule binding | GO:0005524 ATP binding | GO:0003777 microtubule motor activity,-,-,GO only,1.36E-06,0.830566405,8.09774E-05,High,Intermediate
6684|*|comp142376_c0_seq1,1767,gi|332029326|gb|EGI69309.1| hypothetical protein G5I_02076 ,35,6.83E-13,84.435064,-,-,-,-,-,,6.34E-07,0.846312555,4.46794E-05,Low,Low
66888|*|comp2255944_c0_seq1,271,-,-,-,-,-,-,-,-,-,,2.37E-06,0.81802851,0.000126871,Intermediate,Low
6693|*|comp137671_c0_seq1,1766,gi|307200640|gb|EFN80752.1| hypothetical protein EAI_12992 ,115,1.39E-39,169.683914,-,-,-,-,pfam10545 MADF_DNA_bdg,Domain only,2.60E-08,0.897641171,3.52E-06,NotResp,Low
66961|*|comp3461719_c0_seq1,270,gi|189011594|ref|NP_001121027.1| interleukin-1 receptor-associated kinase 1 ,75,2.49E-47,185.387649,"GO:0048011 nerve growth factor receptor signaling pathway | GO:0045892 negative regulation of transcription, DNA-dependent | GO:0043123 positive regulation of I-kappaB kinase/NF-kappaB cascade | GO:0007250 activation of NF-kappaB-inducing kinase activity | GO:0007178 transmembrane receptor protein serine/threonine kinase signaling pathway | GO:0034138 toll-like receptor 3 signaling pathway | GO:0043507 positive regulation of JUN kinase activity | GO:0034142 toll-like receptor 4 signaling pathway | GO:0031663 lipopolysaccharide-mediated signaling pathway | GO:0032088 negative regulation of NF-kappaB transcription factor activity | GO:0016567 protein ubiquitination | GO:0070498 interleukin-1-mediated signaling pathway | GO:0034162 toll-like receptor 9 signaling pathway | GO:0071456 cellular response to hypoxia | GO:0034166 toll-like receptor 10 signaling pathway | GO:0045944 positive regulation of transcription from RNA polymerase II promoter | GO:0034146 toll-like receptor 5 signaling pathway | GO:0002755 MyD88-dependent toll-like receptor signaling pathway | GO:0051092 positive regulation of NF-kappaB transcription factor activity | GO:0070423 nucleotide-binding oligomerization domain containing signaling pathway | GO:0032494 response to peptidoglycan | GO:0001959 regulation of cytokine-mediated signaling pathway | GO:0035666 TRIF-dependent toll-like receptor signaling pathway | GO:0046777 protein autophosphorylation | GO:0034134 toll-like receptor 2 signaling pathway | GO:0090370 negative regulation of cholesterol efflux | GO:0051259 protein oligomerization | GO:0000187 activation of MAPK activity | GO:0043066 negative regulation of apoptotic process | GO:0048661 positive regulation of smooth muscle cell proliferation | GO:0009069 serine family amino acid metabolic process | GO:0040007 growth",GO:0005829 cytosol | GO:0045323 interleukin-1 receptor complex | GO:0005811 lipid particle | GO:0010008 endosome membrane | GO:0005634 nucleus,GO:0042803 protein homodimerization activity | GO:0004704 NF-kappaB-inducing kinase activity | GO:0005149 interleukin-1 receptor binding | GO:0004842 ubiquitin-protein ligase activity | GO:0005524 ATP binding | GO:0046982 protein heterodimerization activity,-,-,GO only,3.63E-07,0.856869184,2.88165E-05,NotResp,Low
669|*|comp150063_c0_seq1,4788,"gi|332030506|gb|EGI70194.1| Thioredoxin reductase 1, mitochondrial ",545,0,1188.63201,GO:0055114 oxidation-reduction process,-,GO:0016491 oxidoreductase activity,1.8.1.9 ,pfam07992 Pyr_redox_2 | pfam02852 Pyr_redox_dim | pfam00070 Pyr_redox | pfam00106 adh_short,GO & Enzyme & Domain,8.44E-06,0.785720474,0.000355979,Low,Low
67001|*|comp95086_c0_seq1,270,-,-,-,-,-,-,-,-,-,,1.08E-06,0.835507004,6.76842E-05,Low,NotResp
6701|*|comp136132_c0_seq1,1765,-,-,-,-,-,-,-,-,-,,3.12E-06,0.811522773,0.000159462,High,Bimodal
67043|*|comp147902_c1_seq1,270,-,-,-,-,-,-,-,-,-,,2.45E-07,0.863862609,2.11704E-05,Low,NotResp
67109|*|comp149014_c2_seq1,270,-,-,-,-,-,-,-,-,-,,6.90E-13,0.972847025,6.11E-10,Low,Intermediate
6710|*|Contig833,1764,gi|322797948|gb|EFZ19802.1| hypothetical protein SINV_05984 ,137,4.63E-65,247.305235,GO:0032259 methylation | GO:0007165 signal transduction | GO:0008283 cell proliferation | GO:0040007 growth,GO:0016020 membrane,GO:0008083 growth factor activity | GO:0008168 methyltransferase activity,-,pfam13359 DDE_4,GO & Domain,9.45E-17,0.991089862,3.43E-13,Intermediate,NotResp
67158|*|comp3566312_c0_seq1,270,-,-,-,-,-,-,-,-,-,,5.26E-06,0.798400559,0.000244084,Intermediate,Low
6718|*|Contig112,1761,gi|322785879|gb|EFZ12498.1| hypothetical protein SINV_12415 ,264,3.84E-137,478.823164,-,-,-,-,-,,9.67E-06,0.781900679,0.000397898,Low,Low
67327|*|comp113263_c0_seq1,269,-,-,-,-,-,-,-,-,-,,3.93E-06,0.805784331,0.000191995,Low,Low
6736|*|comp143390_c0_seq1,1757,gi|332026124|gb|EGI66272.1| Multiple inositol polyphosphate phosphatase 1 ,464,1.88E-219,752.068163,GO:0016311 dephosphorylation | GO:0006771 riboflavin metabolic process | GO:0019497 hexachlorocyclohexane metabolic process,-,GO:0052826 inositol hexakisphosphate 2-phosphatase activity | GO:0003993 acid phosphatase activity,-,pfam00328 His_Phos_2,GO & Domain,2.47E-09,0.923984221,5.31E-07,Intermediate,Intermediate
67383|*|comp144005_c0_seq2,269,-,-,-,-,-,-,-,-,-,,7.81E-07,0.842140868,5.27792E-05,Low,Low
67405|*|comp140836_c0_seq3,269,-,-,-,-,-,-,-,-,-,,3.14E-13,0.975402454,3.20E-10,Intermediate,High
67496|*|comp120884_c1_seq1,269,-,-,-,-,-,-,-,-,-,,5.75E-07,0.848205601,4.12003E-05,Low,NotResp
6764|*|comp149653_c0_seq2,1753,-,-,-,-,-,-,-,-,-,,7.20E-08,0.883511673,8.12E-06,High,High
6766|*|Contig4980,1753,-,-,-,-,-,-,-,-,-,,3.73E-06,0.807106372,0.000184024,Low,Low
67754|*|comp105602_c0_seq1,268,gi|516101415|ref|WP_017531995.1| hypothetical protein ,77,2.57E-08,66.039259,-,-,-,-,-,,1.96E-07,0.867651064,1.77287E-05,NotResp,Low
6796|*|comp145511_c0_seq2,1749,gi|345492808|ref|XP_003426930.1| PREDICTED: hypothetical protein LOC100678738 ,503,2.82E-132,462.670751,-,-,-,-,-,,4.66E-06,0.801530211,0.000219908,Low,High
67|*|comp147480_c2_seq6,7386,gi|383848640|ref|XP_003699956.1| PREDICTED: uncharacterized protein LOC100878395 ,1181,0,2583.572402,GO:0016070 RNA metabolic process,GO:0005634 nucleus | GO:0005739 mitochondrion,GO:0003677 DNA binding | GO:0003723 RNA binding | GO:0000166 nucleotide binding,-,pfam14259 RRM_6 | pfam00076 RRM_1 | pfam13893 RRM_5,GO & Domain,8.19E-08,0.881581421,8.99E-06,Low,Low
